施設名,施設名(英語),都道府県名,市区町村名,行政区名,住所,住所(かな),電話番号,緯度,経度,利用可能時間OPENS,利用可能時間CLOSES,説明(日本語),説明(英語),調査年月日,男性トイレ数,女性トイレ数,男女共用トイレ数,バリアフリートイレ数,オストメイト,多目的シート（ユニバーサルシート）,ベビーチェア,ベビーベット,固定手すり,可動手すり,幼児用便器,自動扉,出入口の表示,非常用呼出ボタン,車椅子対応エレベーター,車椅子対応エスカレーター,授乳スペース,おむつ交換台,AED,画像URL,画像URL,画像URL,画像URL,標準地域コード
水落東第2公園,Mizuochihigashi Park 2,"","","","","","",35.960043,136.186441,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
神中第2公園,Kaminaka Park 2,"","","","","","",35.969026,136.196164,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
住吉第2公園,Sumiyoshi Park 2,"","","","","","",35.939613,136.177078,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
御幸第1公園,Miyuki Park 1,"","","","","","",35.981516,136.19357,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
上河端公園,Kamikoubata Park,"","","","","","",35.956574,136.199396,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
下河端公園,Simokoubata Park,"","","","","","",35.965039,136.200032,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
吉谷公園,Yositani Park,"","","","","","",35.968629,136.216924,"","","","","","","",1,"","","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江市役所,Sabae City Office,"","","","","","",35.956404,136.184269,08:30:00,17:30:00,障がい者対応,Toilets for the disabled are also available,"",4,4,"",1,1,"","",1,"","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
嚮陽会館,kyoyo Hall,"","","","","","",35.947745,136.179226,08:30:00,17:30:00,障がい者対応,Toilets for the disabled are also available,"",8,8,"","",1,"","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
アイアイ鯖江・健康福祉センター,Aiaisabae,"","","","","","",35.961537,136.187798,08:30:00,17:30:00,障がい者対応,Toilets for the disabled are also available,"",4,4,"","",1,"","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
神明苑,Sinmeien,"","","","","","",35.972469,136.183088,08:30:00,17:30:00,障がい者対応,Toilets for the disabled are also available,"",3,3,"","",1,"","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
市民ホールつつじ,Tutuji Hall,"","","","","","",35.946321,136.185289,08:30:00,22:00:00,障がい者対応,Toilets for the disabled are also available,"",3,3,"","",1,"","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
道の駅西山公園,Michinoeki NishiyamaPark,"","","","","","",35.949262,136.18045,00:00:00,24:00:00,障がい者対応,Toilets for the disabled are also available,"",7,8,"",2,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
鯖江駅東広場,sabae station east square,"","","","","","",35.94261,136.189208,"","","","","",3,2,"",1,"","","","","","","","","","","","","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
